Activity,TimeSpan/begin,TimeSpan/end,longitude,latitude
Building,2024-03-07 09:30:00-05:00,2024-03-07 09:34:45-05:00,-71.1117195,42.3304685
Walking,2024-03-07 09:34:45-05:00,2024-03-07 09:37:46-05:00,-71.11171949999999,42.330468499999995
Walking,2024-03-07 09:37:46-05:00,2024-03-07 09:40:46-05:00,-71.11171949999999,42.330468499999995
Driving,2024-03-07 09:40:46-05:00,2024-03-07 09:42:52-05:00,-71.1121132,42.3318736
Driving,2024-03-07 09:42:52-05:00,2024-03-07 09:44:58-05:00,-71.1124414,42.3241014
Driving,2024-03-07 09:44:58-05:00,2024-03-07 09:47:04-05:00,-71.1143817,42.3242757
Driving,2024-03-07 09:47:04-05:00,2024-03-07 09:49:11-05:00,-71.1144486,42.3242627
Driving,2024-03-07 09:49:11-05:00,2024-03-07 09:51:17-05:00,-71.1206576,42.3137244
Driving,2024-03-07 09:51:17-05:00,2024-03-07 09:53:23-05:00,-71.1207534,42.3137335
Driving,2024-03-07 09:53:23-05:00,2024-03-07 09:55:29-05:00,-71.136622,42.2962021
Driving,2024-03-07 09:55:29-05:00,2024-03-07 09:57:35-05:00,-71.1500569,42.2963056
Driving,2024-03-07 09:57:35-05:00,2024-03-07 09:59:41-05:00,-71.1634808,42.2930451
Driving,2024-03-07 09:59:41-05:00,2024-03-07 10:01:47-05:00,-71.1714905,42.2885432
Driving,2024-03-07 10:01:47-05:00,2024-03-07 10:03:53-05:00,-71.2112726,42.2520921
Driving,2024-03-07 10:03:53-05:00,2024-03-07 10:06:00-05:00,-71.2081603,42.2498231
Driving,2024-03-07 10:06:00-05:00,2024-03-07 10:08:06-05:00,-71.1728869,42.2238942
Driving,2024-03-07 10:08:06-05:00,2024-03-07 10:10:12-05:00,-71.1450372,42.2099324
Driving,2024-03-07 10:10:12-05:00,2024-03-07 10:12:18-05:00,-71.1543207,42.1891658
Driving,2024-03-07 10:12:18-05:00,2024-03-07 10:14:24-05:00,-71.1914522,42.1582045
Driving,2024-03-07 10:14:24-05:00,2024-03-07 10:16:30-05:00,-71.2011059,42.1517881
Driving,2024-03-07 10:16:30-05:00,2024-03-07 10:18:36-05:00,-71.199992,42.1524942
